trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.4295573582107392}",20,10,-3.699100550324686,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,8,7.524229889595251,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42528319108227414}",25,8,19.224389614407063,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,17.00359900026792,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.4210515526273212}",20,8,21.83066343312488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.418951549247639}",25,10,-5.1033051302250625,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.41686201967850844}",30,20,11.858597225815126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,12,13.502132490687574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.4127141732790497}",20,15,-12.401141270944079,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,9,7.519206684180655,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40860759864084845}",20,10,8.34300154343327,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,21,15.90304726933522,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4045418851030188}",20,0,-48.666351328591915,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
